Model,MSO44B
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,1.60000000e-10
Record Length,125000
Zero Index,62499.00000000
Vertical Units,A
ANALOG_Thumbnail,
yOffset,0.00000000e+00
yPosition,-1.10000000e+00

Labels,
TIME,CH3
-9.96816000e-06,-4.30000000e-02
-9.96800000e-06,-4.30000000e-02
-9.96784000e-06,-4.50000000e-02
-9.96768000e-06,-4.50000000e-02
-9.96752000e-06,-4.50000000e-02
-9.96736000e-06,-4.50000000e-02
-9.96720000e-06,-4.50000000e-02
-9.96704000e-06,-4.50000000e-02
-9.96688000e-06,-4.50000000e-02
-9.96672000e-06,-4.50000000e-02
-9.96656000e-06,-4.50000000e-02
-9.96640000e-06,-4.50000000e-02
-9.96624000e-06,-4.50000000e-02
-9.96608000e-06,-4.50000000e-02
-9.96592000e-06,-4.50000000e-02
-9.96576000e-06,-4.50000000e-02
-9.96560000e-06,-4.50000000e-02
-9.96544000e-06,-4.50000000e-02
-9.96528000e-06,-4.50000000e-02
-9.96512000e-06,-4.50000000e-02
-9.96496000e-06,-4.50000000e-02
-9.96480000e-06,-4.50000000e-02
-9.96464000e-06,-4.70000000e-02
-9.96448000e-06,-4.70000000e-02
-9.96432000e-06,-4.70000000e-02
-9.96416000e-06,-4.70000000e-02
-9.96400000e-06,-4.70000000e-02
-9.96384000e-06,-4.70000000e-02
-9.96368000e-06,-4.70000000e-02
-9.96352000e-06,-4.90000000e-02
-9.96336000e-06,-4.90000000e-02
-9.96320000e-06,-4.90000000e-02
-9.96304000e-06,-4.90000000e-02
-9.96288000e-06,-4.70000000e-02
-9.96272000e-06,-4.70000000e-02
-9.96256000e-06,-4.70000000e-02
-9.96240000e-06,-4.70000000e-02
-9.96224000e-06,-4.70000000e-02
-9.96208000e-06,-4.70000000e-02
-9.96192000e-06,-4.70000000e-02
-9.96176000e-06,-4.90000000e-02
-9.96160000e-06,-4.90000000e-02
-9.96144000e-06,-4.90000000e-02
-9.96128000e-06,-4.90000000e-02
-9.96112000e-06,-4.90000000e-02
-9.96096000e-06,-4.90000000e-02
-9.96080000e-06,-4.70000000e-02
-9.96064000e-06,-4.70000000e-02
-9.96048000e-06,-4.70000000e-02
-9.96032000e-06,-4.70000000e-02
-9.96016000e-06,-4.70000000e-02
-9.96000000e-06,-4.70000000e-02
-9.95984000e-06,-4.70000000e-02
-9.95968000e-06,-4.70000000e-02
-9.95952000e-06,-4.70000000e-02
-9.95936000e-06,-4.70000000e-02
-9.95920000e-06,-4.70000000e-02
-9.95904000e-06,-4.70000000e-02
-9.95888000e-06,-4.70000000e-02
-9.95872000e-06,-4.70000000e-02
-9.95856000e-06,-4.70000000e-02
-9.95840000e-06,-4.70000000e-02
-9.95824000e-06,-4.70000000e-02
-9.95808000e-06,-4.50000000e-02
-9.95792000e-06,-4.70000000e-02
-9.95776000e-06,-4.70000000e-02
-9.95760000e-06,-4.70000000e-02
-9.95744000e-06,-4.70000000e-02
-9.95728000e-06,-4.70000000e-02
-9.95712000e-06,-4.70000000e-02
-9.95696000e-06,-4.70000000e-02
-9.95680000e-06,-4.50000000e-02
-9.95664000e-06,-4.50000000e-02
-9.95648000e-06,-4.50000000e-02
-9.95632000e-06,-4.50000000e-02
-9.95616000e-06,-4.50000000e-02
-9.95600000e-06,-4.50000000e-02
-9.95584000e-06,-4.50000000e-02
-9.95568000e-06,-4.30000000e-02
-9.95552000e-06,-4.30000000e-02
-9.95536000e-06,-4.30000000e-02
-9.95520000e-06,-4.30000000e-02
-9.95504000e-06,-4.30000000e-02
-9.95488000e-06,-4.30000000e-02
-9.95472000e-06,-4.30000000e-02
-9.95456000e-06,-4.10000000e-02
-9.95440000e-06,-4.10000000e-02
-9.95424000e-06,-4.10000000e-02
-9.95408000e-06,-4.10000000e-02
-9.95392000e-06,-3.90000000e-02
-9.95376000e-06,-3.90000000e-02
-9.95360000e-06,-3.90000000e-02
-9.95344000e-06,-3.90000000e-02
-9.95328000e-06,-3.90000000e-02
-9.95312000e-06,-3.90000000e-02
-9.95296000e-06,-3.90000000e-02
-9.95280000e-06,-3.90000000e-02
-9.95264000e-06,-3.90000000e-02
-9.95248000e-06,-3.90000000e-02
-9.95232000e-06,-3.90000000e-02
-9.95216000e-06,-3.90000000e-02
-9.95200000e-06,-3.90000000e-02
-9.95184000e-06,-3.90000000e-02
-9.95168000e-06,-3.90000000e-02
-9.95152000e-06,-3.70000000e-02
-9.95136000e-06,-3.70000000e-02
-9.95120000e-06,-3.70000000e-02
-9.95104000e-06,-3.70000000e-02
-9.95088000e-06,-3.70000000e-02
-9.95072000e-06,-3.50000000e-02
-9.95056000e-06,-3.50000000e-02
-9.95040000e-06,-3.50000000e-02
-9.95024000e-06,-3.50000000e-02
-9.95008000e-06,-3.50000000e-02
-9.94992000e-06,-3.50000000e-02
-9.94976000e-06,-3.50000000e-02
-9.94960000e-06,-3.50000000e-02
-9.94944000e-06,-3.50000000e-02
-9.94928000e-06,-3.50000000e-02
-9.94912000e-06,-3.50000000e-02
-9.94896000e-06,-3.30000000e-02
-9.94880000e-06,-3.30000000e-02
-9.94864000e-06,-3.30000000e-02
-9.94848000e-06,-3.30000000e-02
-9.94832000e-06,-3.30000000e-02
-9.94816000e-06,-3.30000000e-02
-9.94800000e-06,-3.30000000e-02
-9.94784000e-06,-3.30000000e-02
-9.94768000e-06,-3.30000000e-02
-9.94752000e-06,-3.30000000e-02
-9.94736000e-06,-3.30000000e-02
-9.94720000e-06,-3.50000000e-02
-9.94704000e-06,-3.50000000e-02
-9.94688000e-06,-3.50000000e-02
-9.94672000e-06,-3.30000000e-02
